Video ID,Emotion_Percentages
Jzqu48uup54,"{'positive': 27.840743969776227, 'trust': 17.800058122638767, 'joy': 11.871548968323161, 'anticipation': 10.56378959604766, 'negative': 9.28509154315606, 'sadness': 5.579773321708806, 'anger': 4.925893635571055, 'fear': 4.562627143272305, 'disgust': 3.966870095902354, 'surprise': 3.6036036036036037}"
KHfP3InQc94,"{'positive': 28.041942216299127, 'joy': 18.738213181120976, 'trust': 13.15849028137494, 'anticipation': 11.058864945057708, 'negative': 7.8478211672408165, 'surprise': 5.511830823002841, 'sadness': 4.759988936106012, 'fear': 4.033292262817772, 'disgust': 3.7566949131232867, 'anger': 3.0928612738565215}"
KIqQ0gowzt4,"{'positive': 31.086365181910914, 'joy': 23.384903094185653, 'trust': 11.139918395103706, 'anticipation': 9.469568174090446, 'negative': 6.698401904114247, 'surprise': 5.283066984019041, 'sadness': 3.8124787487249234, 'fear': 3.5957157429445767, 'anger': 3.1281876912614757, 'disgust': 2.4013940836450187}"
KuYsILv6Fd0,"{'positive': 29.128672745694022, 'joy': 21.681864235055727, 'trust': 11.43194866599122, 'anticipation': 9.810874704491725, 'negative': 7.598784194528875, 'surprise': 4.745018574805808, 'sadness': 4.7281323877068555, 'fear': 4.120229652144546, 'disgust': 3.579871664978048, 'anger': 3.1746031746031744}"
KyI8i1-cN8s,"{'positive': 26.705370101596515, 'joy': 16.529592001290112, 'trust': 12.973713917110144, 'anticipation': 11.159490404773424, 'negative': 9.417835832930173, 'sadness': 5.289469440412837, 'surprise': 4.845992581841639, 'anger': 4.4912110949846795, 'fear': 4.458958232543138, 'disgust': 4.128366392517336}"
Li8ubUzLB90,"{'positive': 31.182795698924732, 'joy': 23.195084485407065, 'trust': 10.291858678955453, 'anticipation': 9.67741935483871, 'negative': 6.1443932411674345, 'surprise': 5.990783410138248, 'sadness': 4.147465437788019, 'fear': 3.840245775729647, 'disgust': 3.225806451612903, 'anger': 2.3041474654377883}"
LpVraZRIjrY,"{'positive': 28.364421149992292, 'joy': 19.716355788500078, 'anticipation': 10.991213195622013, 'trust': 9.989209187605981, 'negative': 7.461075998150147, 'surprise': 6.644057345460151, 'sadness': 4.963773701248651, 'disgust': 4.038846924618468, 'anger': 3.9617696932326187, 'fear': 3.8692770155696006}"
NXrwxbxeqCE,"{'positive': 29.02305681007844, 'joy': 22.296173044925123, 'trust': 11.076776800570478, 'anticipation': 9.436653197052532, 'negative': 8.343237461373901, 'surprise': 5.253149512716901, 'sadness': 4.9916805324459235, 'anger': 3.2089374851438075, 'disgust': 3.2089374851438075, 'fear': 3.1613976705490847}"
P-7mzzWtnVQ,"{'positive': 28.19139747797547, 'joy': 22.197270685783383, 'trust': 11.867334600103645, 'anticipation': 11.072724131974434, 'surprise': 6.253238901364658, 'negative': 5.769562964242529, 'anger': 4.594921402660217, 'disgust': 3.8348592157540162, 'sadness': 3.506650544135429, 'fear': 2.7120400760062187}"
PKAM4M9OET8,"{'positive': 33.18352059925094, 'joy': 24.56928838951311, 'trust': 12.209737827715356, 'anticipation': 7.5655430711610485, 'negative': 6.666666666666667, 'surprise': 4.644194756554307, 'sadness': 3.7453183520599254, 'disgust': 3.146067415730337, 'anger': 2.1722846441947565, 'fear': 2.0973782771535583}"
PWnDS45iDj4,"{'positive': 27.764842840512223, 'joy': 17.481567714396583, 'trust': 12.39813736903376, 'anticipation': 11.117578579743888, 'negative': 8.469150174621653, 'surprise': 5.8013193636010865, 'fear': 4.646876212650368, 'sadness': 4.472254559565386, 'anger': 4.064804035700427, 'disgust': 3.783469150174622}"
PqpCeiYycVM,"{'positive': 25.988382986696646, 'joy': 19.107176316282555, 'anticipation': 10.188308038223722, 'trust': 10.118043844856661, 'negative': 8.286490537755293, 'surprise': 6.342514521266629, 'anger': 5.475922803072887, 'sadness': 5.391605771032415, 'fear': 5.204234588720255, 'disgust': 3.8973205920929366}"
Pt_5Faa_J-U,"{'positive': 26.38997650743931, 'joy': 18.80609601831215, 'trust': 11.234262996205048, 'anticipation': 10.95114752123366, 'negative': 8.909101861333655, 'surprise': 6.174326847780255, 'sadness': 5.150292151075236, 'fear': 4.5659900006023735, 'anger': 4.319016926691163, 'disgust': 3.499789169327149}"
QMCR45FyfzU,"{'positive': 28.64374604513816, 'joy': 18.561484918793504, 'trust': 12.349715249947268, 'anticipation': 11.168529846024047, 'negative': 7.804260704492723, 'surprise': 5.3258806159038174, 'sadness': 4.809112001687408, 'fear': 3.9232229487449906, 'anger': 3.73338958025733, 'disgust': 3.6806580890107568}"
Qc0iJpQcdis,"{'positive': 29.869281045751634, 'joy': 22.091503267973856, 'trust': 11.699346405228757, 'anticipation': 8.235294117647058, 'negative': 8.03921568627451, 'anger': 4.771241830065359, 'sadness': 4.640522875816994, 'surprise': 4.509803921568627, 'disgust': 3.5294117647058822, 'fear': 2.6143790849673203}"
QvoPw_5Sz8U,"{'positive': 31.32621951219512, 'joy': 21.49390243902439, 'trust': 12.195121951219512, 'anticipation': 9.75609756097561, 'negative': 6.859756097560976, 'surprise': 5.259146341463414, 'sadness': 4.039634146341464, 'anger': 3.353658536585366, 'disgust': 3.201219512195122, 'fear': 2.5152439024390247}"
RDn0K9UzCpc,"{'positive': 29.748427672955973, 'joy': 22.9769392033543, 'trust': 10.18867924528302, 'anticipation': 9.538784067085954, 'negative': 8.144654088050315, 'sadness': 4.968553459119497, 'surprise': 4.884696016771488, 'fear': 3.5534591194968552, 'anger': 3.060796645702306, 'disgust': 2.9350104821802936}"
RF-Mqs2qC-M,"{'positive': 19.69995803608896, 'negative': 13.473562736046999, 'trust': 12.997272345782626, 'joy': 11.694292908099035, 'anticipation': 10.40180444817457, 'anger': 7.230381871590433, 'sadness': 6.725765841376416, 'disgust': 6.26731011330256, 'fear': 6.100503566932438, 'surprise': 5.409148132605958}"
RNjlfo_8u4s,"{'positive': 25.281179705073733, 'joy': 16.758310422394402, 'anticipation': 12.671832041989504, 'trust': 10.972256935766058, 'negative': 9.71007248187953, 'surprise': 6.210947263184204, 'sadness': 5.948512871782055, 'fear': 4.686328417895526, 'disgust': 4.386403399150213, 'anger': 3.3741564608847785}"
RjVfU9WcPxE,"{'positive': 26.329481980258628, 'joy': 18.983854923865636, 'trust': 12.30392531945826, 'anticipation': 11.1102609227944, 'negative': 9.319764327798607, 'surprise': 5.118983854923866, 'sadness': 4.843522840309129, 'anger': 4.1013084398194195, 'fear': 3.994184711913689, 'disgust': 3.894712678858367}"
S1_L6RGDggk,"{'positive': 27.742907356264123, 'joy': 18.327893547577204, 'trust': 11.498870198342956, 'anticipation': 10.620135576198846, 'negative': 9.364800401707257, 'sadness': 5.774541802661311, 'surprise': 5.473261360783329, 'anger': 4.142606075822244, 'fear': 3.841325633944263, 'disgust': 3.2136580466984683}"
