Video ID,Emotion_Percentages
SrlAlMsdr3g,"{'positive': 29.087520323591225, 'joy': 22.016893365586707, 'trust': 12.087084109925843, 'anticipation': 11.3177618273387, 'negative': 9.025657294682158, 'surprise': 6.368719514613158, 'disgust': 5.083871991117103, 'anger': 5.0124915731451}"
TPEdTajhR6A,"{'positive': 31.183510638297875, 'joy': 23.497340425531917, 'trust': 12.632978723404257, 'anticipation': 10.944148936170214, 'negative': 7.180851063829788, 'surprise': 5.718085106382978, 'sadness': 5.26595744680851, 'fear': 3.577127659574468}"
UAUfo6KY1wg,"{'positive': 30.74110190151146, 'joy': 22.086786933203314, 'trust': 14.334470989761092, 'anticipation': 10.897123354461238, 'negative': 8.434909800097513, 'sadness': 4.997562164797659, 'surprise': 4.900048756704047, 'anger': 3.6079960994636764}"
UYEWJcmWKGQ,"{'positive': 35.115239681009555, 'joy': 29.462799053544824, 'trust': 11.655420208570677, 'anticipation': 9.701165542020856, 'surprise': 5.258084304618351, 'sadness': 3.6543685917097535, 'negative': 3.3213565857505913, 'fear': 1.8315660327753922}"
VTPdktgrtF8,"{'positive': 29.659741041854865, 'joy': 19.813309244203552, 'trust': 13.640469738030713, 'anticipation': 12.676904546823245, 'negative': 9.725986148750376, 'fear': 5.058717253839205, 'sadness': 4.908160192713038, 'surprise': 4.5167118337850045}"
VabOWgtG2D4,"{'positive': 32.174650275540486, 'joy': 23.97202204323866, 'trust': 12.01780415430267, 'anticipation': 10.491733785502332, 'negative': 7.481983891479441, 'surprise': 5.235269181856719, 'sadness': 4.896142433234421, 'fear': 3.730394234845273}"
VxvfhuxOE1I,"{'positive': 29.111418959034236, 'joy': 20.28497922026519, 'trust': 13.200079160894518, 'anticipation': 11.240847021571344, 'negative': 8.826439738769048, 'surprise': 6.214130219671482, 'sadness': 6.075598654264793, 'disgust': 5.0465070255293885}"
VyEf4EBXe8o,"{'positive': 23.87607401333381, 'negative': 16.0219615672573, 'joy': 14.685015508574281, 'anticipation': 11.932689222432172, 'trust': 11.793646832329138, 'anger': 8.567150344040787, 'sadness': 6.713251809333666, 'fear': 6.410210702698849}"
VylU-ueLA_g,"{'positive': 28.887251289609434, 'joy': 17.980840088430362, 'trust': 14.075165806927044, 'anticipation': 11.938098747236552, 'negative': 11.201179071481208, 'sadness': 5.600589535740604, 'anger': 5.305821665438467, 'surprise': 5.0110537951363305}"
X89WJTXA8KQ,"{'positive': 34.58279845956354, 'joy': 26.675224646983313, 'trust': 11.34788189987163, 'anticipation': 10.885750962772786, 'surprise': 5.596919127086008, 'negative': 4.646983311938382, 'sadness': 3.5686777920410786, 'disgust': 2.6957637997432604}"
