Video ID,Top_5_Emotions
S1_L6RGDggk,"[('joy', 730), ('trust', 458), ('anticipation', 423), ('sadness', 230), ('surprise', 218), ('anger', 165), ('fear', 153), ('disgust', 128)]"
SVO-iq2bjTQ,"[('joy', 2000), ('trust', 917), ('anticipation', 837), ('surprise', 451), ('sadness', 424), ('fear', 286), ('disgust', 257), ('anger', 252)]"
SrlAlMsdr3g,"[('joy', 5552), ('trust', 3048), ('anticipation', 2854), ('surprise', 1606), ('disgust', 1282), ('anger', 1264), ('sadness', 1233), ('fear', 1163)]"
TPEdTajhR6A,"[('joy', 1767), ('trust', 950), ('anticipation', 823), ('surprise', 430), ('sadness', 396), ('fear', 269), ('disgust', 266), ('anger', 263)]"
UAUfo6KY1wg,"[('joy', 906), ('trust', 588), ('anticipation', 447), ('sadness', 205), ('surprise', 201), ('anger', 148), ('fear', 147), ('disgust', 127)]"
UYEWJcmWKGQ,"[('joy', 3362), ('trust', 1330), ('anticipation', 1107), ('surprise', 600), ('sadness', 417), ('fear', 209), ('disgust', 178), ('anger', 177)]"
VTPdktgrtF8,"[('joy', 658), ('trust', 453), ('anticipation', 421), ('fear', 168), ('sadness', 163), ('surprise', 150), ('anger', 142), ('disgust', 112)]"
VabOWgtG2D4,"[('joy', 1131), ('trust', 567), ('anticipation', 495), ('surprise', 247), ('sadness', 231), ('fear', 176), ('anger', 147), ('disgust', 146)]"
VxvfhuxOE1I,"[('joy', 1025), ('trust', 667), ('anticipation', 568), ('surprise', 314), ('sadness', 307), ('disgust', 255), ('fear', 248), ('anger', 240)]"
VyEf4EBXe8o,"[('joy', 4119), ('anticipation', 3347), ('trust', 3308), ('anger', 2403), ('sadness', 1883), ('fear', 1798), ('disgust', 1726), ('surprise', 1350)]"
VylU-ueLA_g,"[('joy', 244), ('trust', 191), ('anticipation', 162), ('sadness', 76), ('anger', 72), ('surprise', 68), ('fear', 68), ('disgust', 65)]"
X89WJTXA8KQ,"[('joy', 1039), ('trust', 442), ('anticipation', 424), ('surprise', 218), ('sadness', 139), ('disgust', 105), ('fear', 94), ('anger', 81)]"
XNrTIQjHuKs,"[('joy', 1813), ('trust', 1024), ('anticipation', 956), ('surprise', 483), ('anger', 426), ('fear', 391), ('sadness', 369), ('disgust', 361)]"
XxPPdlo72ho,"[('joy', 801), ('trust', 316), ('anticipation', 290), ('surprise', 187), ('sadness', 111), ('fear', 97), ('anger', 95), ('disgust', 89)]"
YQC7OtyHhxU,"[('joy', 2187), ('trust', 1136), ('anticipation', 1036), ('surprise', 533), ('sadness', 475), ('fear', 350), ('disgust', 310), ('anger', 277)]"
_Jqi9k3tXoQ,"[('joy', 502), ('trust', 265), ('anticipation', 234), ('sadness', 128), ('surprise', 111), ('fear', 87), ('anger', 85), ('disgust', 83)]"
_Zr3ObadDnI,"[('joy', 2692), ('trust', 1563), ('anticipation', 1503), ('surprise', 737), ('sadness', 638), ('anger', 489), ('fear', 488), ('disgust', 451)]"
aB7JCNRI3rY,"[('joy', 1097), ('trust', 536), ('anticipation', 442), ('surprise', 266), ('sadness', 185), ('fear', 117), ('disgust', 112), ('anger', 110)]"
aTSgJgRnqG0,"[('joy', 1668), ('anticipation', 993), ('trust', 783), ('surprise', 418), ('sadness', 360), ('fear', 329), ('disgust', 320), ('anger', 319)]"
eOfOrQJWeP0,"[('joy', 140), ('trust', 85), ('anticipation', 84), ('sadness', 49), ('anger', 45), ('fear', 35), ('disgust', 35), ('surprise', 32)]"
eyUs2JgrV9E,"[('joy', 5841), ('trust', 3026), ('anticipation', 2655), ('surprise', 1461), ('sadness', 1247), ('fear', 824), ('anger', 711), ('disgust', 600)]"
fsYZye1Ykao,"[('joy', 825), ('trust', 395), ('anticipation', 319), ('sadness', 240), ('surprise', 188), ('fear', 113), ('anger', 110), ('disgust', 105)]"
gKUyX7cjum4,"[('joy', 6141), ('trust', 2583), ('anticipation', 2309), ('surprise', 1298), ('sadness', 991), ('fear', 770), ('anger', 642), ('disgust', 583)]"
gO_gm74yiUY,"[('joy', 4631), ('trust', 2529), ('anticipation', 2289), ('surprise', 953), ('fear', 925), ('sadness', 886), ('disgust', 825), ('anger', 820)]"
hJaXjItxL6w,"[('joy', 859), ('trust', 720), ('anticipation', 683), ('anger', 357), ('sadness', 356), ('disgust', 334), ('surprise', 328), ('fear', 320)]"
haK2TnmVoT0,"[('joy', 2405), ('trust', 1598), ('anticipation', 1318), ('surprise', 855), ('sadness', 566), ('anger', 483), ('disgust', 480), ('fear', 473)]"
